Title#0,"""AWKS Twaining Centew"""
KillScore#0,"""$(0)"""
DamageScore#0,"""$(0)"""
CrystalScore#0,"""$(0)"""
DeathScore#0,"""$(0)"""
MvpNone#0,"""<c c0c0c0>None<c>"""
OtherPlayerNum#0,"""& $(0) Othews"""
BattleCoinDetail#0,"""Battwe Coin Bweakdown"""
BattleCoin#0,"""Battwe Coins"""
BattleResult#0,"""Battwe Wesuwts"""
Task#0,"""Battwe Achievements"""
Win#0,"""Win"""
Lose#0,"""Wose"""
Draw#0,"""Dwaw"""
GetMvp#0,"""MVP"""
GetMvpSupport#0,"""MVP Suppowt"""
RareWeaponPickup#0,"""----"""
RareWeaponPickup_Num#0,"""----"""
AtkDamage100Over_Repdigit#0,"""Damage infwicted Wepdigit (3+)"""
DefDamage100Over_Repdigit#0,"""Damage weceived Wepdigit (3+)"""
FightAlone#0,"""----"""
FightAlone_Num#0,"""----"""
ManyKillWeapon#0,"""Most kiwws using $(0)"""
ManyDeathWeapon#0,"""Most often kiwwed by $(0)"""
WeaponType_Sword#0,"""Swowds"""
WeaponType_WiredLance#0,"""Wiwed Wances"""
WeaponType_Partisan#0,"""Pawtizans"""
WeaponType_TwinDagger#0,"""Twin Daggews"""
WeaponType_DoubleSaber#0,"""Doubwe Sabews"""
WeaponType_Knuckle#0,"""Knuckwes"""
WeaponType_Saber#0,"""Gunswashes"""
WeaponType_AssaultRifle#0,"""Wifwes"""
WeaponType_Launcher#0,"""Waunchews"""
WeaponType_TwinMachinegun#0,"""Twin Machineguns"""
WeaponType_Rod#0,"""Wods"""
WeaponType_Talis#0,"""Tawises"""
WeaponType_Wand#0,"""Wands"""
WeaponType_Katana#0,"""Katanas"""
WeaponType_CompoundBow#0,"""Buwwet Bows"""
WeaponType_JetBoots#0,"""Jet Boots"""
WeaponType_DualBlade#0,"""Duaw Bwades"""
WeaponType_Takt#0,"""Takts"""
Kill_Num#0,"""Kiwwed $(0) peopwe"""
RainbowCrystal_Num#0,"""Get $(0)+ Wainbow Embwems"""
EnemyCrystal_Num#0,"""Get $(0)+ Enemy Embwems"""
KillBeforeOneDie_Num#0,"""Achieved $(0) kiwws befowe dying"""
GetOrb_Num#0,"""$(0)<pict poka_btl_coin>"""
Arp#0,"""Awena Point Info"""
Rank#0,"""Wank"""
GetArp#0,"""Awena Points Gained"""
TotalArp#0,"""Totaw Awena Points"""
OrbInfo#0,"""Battwe Coin Info"""
GetOrbBase#0,"""Base Battwe Coins"""
QuestBonus#0,"""Event Bonus"""
ClearBonus#0,"""Wewawd Bonus"""
TotalBonus#0,"""Totaw Bonus"""
GetArpNum#0,"""$(0) AWP"""
BonusPoint#0,"""+$(0)%"""
GetOrbBase_Num#0,"""$(0)<pict poka_btl_coin>"""
Ranking#0,"""WEGEND Wanking"""
Place#0,"""Pwace"""
OtherClearTaskNum#0,"""Othew $(0) Pwace"""
MvpPlayerName#0,"""Pwayew Name"""
MvpScore#0,"""Wecowd"""
MvpCoin#0,"""Gained"""
TotalTaskOrb#0,"""Battwe Achievement Battwe Coins"""
ClearTaskNone#0,"""No Eawned Battwe Achievements"""
NextRankPoint#0,"""To Next Wank"""
WinLose#0,"""Outcome"""
MvpScoreNone#0,"""None"""
ResultTitle#0,"""Battwe Wesuwts"""
OldResultTitle#0,"""Pwevious Battwe Wesuwts"""
MultiDeathInfo#0,"""Numbew of times Incapacitated"""
